IO buffer OPT target,Weight buffer OPT target,Weight buffer Tech,IO Area (mm^2),Weight Area (mm^2),Systolic Array Area (mm^2),weight buffer carbon (g),io buffer carbon (g),systolic array carbon (g),total carbon (g)
WriteDynamicEnergy,ReadDynamicEnergy,HZO3,2.114,0.80947804,1.23904,11.815214,28.090832,16.464364,56.370409
WriteDynamicEnergy,ReadDynamicEnergy,HZO5,2.114,0.80947804,1.23904,11.942026,28.090832,16.464364,56.497221
WriteDynamicEnergy,ReadDynamicEnergy,SRAM-Best,2.114,4.098,1.23904,54.454224,28.090832,16.464364,99.00942
WriteDynamicEnergy,ReadEDP,HZO3,2.114,0.982724629,1.23904,14.117309,28.090832,16.464364,58.672505
WriteDynamicEnergy,ReadEDP,HZO5,2.114,0.982724629,1.23904,14.244121,28.090832,16.464364,58.799316
WriteDynamicEnergy,ReadEDP,SRAM-Best,2.114,4.324,1.23904,57.457312,28.090832,16.464364,102.012508
WriteDynamicEnergy,ReadLatency,HZO3,2.114,1.146,1.23904,16.287292,28.090832,16.464364,60.842487
WriteDynamicEnergy,ReadLatency,HZO5,2.114,1.146,1.23904,16.414148,28.090832,16.464364,60.969344
WriteDynamicEnergy,ReadLatency,SRAM-Best,2.114,4.112,1.23904,54.640256,28.090832,16.464364,99.195452
WriteDynamicEnergy,WriteDynamicEnergy,HZO3,2.114,2.187,1.23904,30.119814,28.090832,16.464364,74.675009
WriteDynamicEnergy,WriteDynamicEnergy,HZO5,2.114,2.187,1.23904,30.246636,28.090832,16.464364,74.801832
WriteDynamicEnergy,WriteDynamicEnergy,SRAM-Best,2.114,4.229,1.23904,56.194952,28.090832,16.464364,100.750148
WriteDynamicEnergy,WriteEDP,HZO3,2.114,1.348,1.23904,18.971183,28.090832,16.464364,63.526379
WriteDynamicEnergy,WriteEDP,HZO5,2.114,1.348,1.23904,19.098006,28.090832,16.464364,63.653202
WriteDynamicEnergy,WriteEDP,SRAM-Best,2.114,4.456,1.23904,59.211328,28.090832,16.464364,103.766524
WriteDynamicEnergy,WriteLatency,HZO3,2.114,1.523,1.23904,21.296743,28.090832,16.464364,65.851938
WriteDynamicEnergy,WriteLatency,HZO5,2.114,1.523,1.23904,21.423584,28.090832,16.464364,65.97878
