IO OPT target,Weight OPT target,Weight Tech,IO Dyn Read (mJ),IO Dyn Write (mJ),IO Static (mJ),Weight Dyn Read (mJ),Weight Static (mJ),Total Energy per Inference (mJ),Overall Carbon Emission (gCO2)
WriteEDP,ReadEDP,HZO3,189.884652672,82.344552172,16.92243280137984,88.293824448,0.02924625313901568,377.47470834651887,437.13569231224176
WriteEDP,ReadEDP,HZO5,189.884652672,82.344552172,16.92243280137984,88.293824448,0.02924625313901568,377.47470834651887,437.2625033122418
WriteEDP,ReadEDP,SRAM-Best,189.884652672,82.344552172,16.92243280137984,12.918716927999998,6.8563715612255995,308.9267261346054,412.020884592331
WriteEDP,ReadLatency,HZO3,189.884652672,82.344552172,16.92243280137984,114.76827590399999,0.05568847284219264,403.975602022222,465.770548944428
WriteEDP,ReadLatency,HZO5,189.884652672,82.344552172,16.92243280137984,114.76827590399999,0.05568847284219264,403.975602022222,465.897406944428
WriteEDP,ReadLatency,SRAM-Best,189.884652672,82.344552172,16.92243280137984,492.003728448,3.1951355002398723,784.3505015936197,883.9814075384803
WriteEDP,WriteDynamicEnergy,HZO3,189.884652672,82.344552172,16.92243280137984,56.946188352,50.29535603598682,396.3931820333666,470.9719999890711
WriteEDP,WriteDynamicEnergy,HZO5,189.884652672,82.344552172,16.92243280137984,56.946188352,50.29535603598682,396.3931820333666,470.9719999890711
WriteEDP,WriteDynamicEnergy,SRAM-Best,189.884652672,82.344552172,16.92243280137984,48.266823552000005,5.719954722803905,343.1384159201837,444.92371381193044
WriteEDP,WriteEDP,HZO3,189.884652672,82.344552172,16.92243280137984,49.072650816,11.37887994258893,349.60316840396877,414.15591039710586
WriteEDP,WriteEDP,HZO5,189.884652672,82.344552172,16.92243280137984,49.072650816,11.37887994258893,349.60316840396877,414.28273339710586
WriteEDP,WriteEDP,SRAM-Best,189.884652672,82.344552172,16.92243280137984,38.07772704,6.042108295444416,333.2714729808242,438.08655803214936
WriteEDP,WriteLatency,HZO3,189.884652672,82.344552172,16.92243280137984,162.238827456,0.2254920741421778,451.615957175522,518.3556032751709
WriteEDP,WriteLatency,HZO5,189.884652672,82.344552172,16.92243280137984,162.238827456,0.2254920741421778,451.615957175522,518.4824442751709
WriteEDP,WriteLatency,SRAM-Best,189.884652672,82.344552172,16.92243280137984,492.003728448,3.1951355002398723,784.3505015936197,883.9814075384803
WriteLatency,Area,HZO3,2409.4914727679998,235.59444993600002,9.263239103361023,25.882025088,0.20418368449996802,2680.435370579861,2732.723823907855
WriteLatency,Area,HZO5,2409.4914727679998,235.59444993600002,9.263239103361023,25.882025088,0.20418368449996802,2680.435370579861,2732.850635907855
WriteLatency,Area,SRAM-Best,2409.4914727679998,235.59444993600002,9.263239103361023,746.374411392,47.12283572436633,3447.846408923727,3538.7810723334615
WriteLatency,ReadDynamicEnergy,HZO3,2409.4914727679998,235.59444993600002,9.263239103361023,7.870352447999999,0.050115171524544005,2662.2696294268853,2713.550681650019
WriteLatency,ReadDynamicEnergy,HZO5,2409.4914727679998,235.59444993600002,9.263239103361023,7.870352447999999,0.050115171524544005,2662.2696294268853,2713.550681650019
