Benchmark Name,MemoryCellInputFile,Total Dynamic Read Energy (mJ),Total Dynamic Write Energy (mJ),Total Read Latency (ms),Total Write Latency (ms),Area (mm^2),Area Efficiency (percent),Total Power,Area Efficiency (percent),Read Latency (ns),Write Latency (ns),Read Energy (pJ),Write Energy (pJ),Leakage Power (mW),Capacity (MB),CellArea (F^2),Source,ReadEDP (mJ·ms),WriteEDP (mJ·ms),Total memory latency (ms),Read Energy per access (pJ),Write Energy per access (pJ),WriteEDP per access (nJ·ns),ReadEDP per access (nj·ns)
ResNet50_int, data/cell_cfgs/FeFET_HZO_15_7_9.cell,0.1942776,0.07403520000000001,4.4645616000000015,2400.0,0.491068967,40.178,39.7333128,40.178,0.620078,1000.0,26.983,30.848000000000003,39.465, 2, 15,FeFET_2MB_ReadLatency_1BPC-main_dnn_study.csv,0.8673643127001602,466.26624,2404.4645616,51.45437827000001,39495.848,39495.848,0.03190572796890507
ResNet50_int, data/cell_cfgs/FeFET_HZO_15_1_9.cell,0.23629680000000006,0.11079360000000002,6.82308,24002.4,1.116,70.734,20.115090400000003,70.734,0.94765,10001.0,32.819,46.163999999999994,19.768, 8, 15,FeFET_8MB_ReadEDP_1BPC-main_dnn_study.csv,1.6122719701440005,5671.690312320002,24009.22308,51.5521452,197745.932,1977657.065932,0.04885339039878
ResNet50_int, data/cell_cfgs/FeFET_HZO_15_2_9.cell,0.23629680000000006,0.27951600000000004,6.82308,2402.4,1.116,70.734,20.283812800000003,70.734,0.94765,1001.0,32.819,116.465,19.768, 8, 15,FeFET_8MB_ReadEDP_1BPC-main_dnn_study.csv,1.6122719701440005,567.6794323200002,2409.22308,51.5521452,19904.233,19924.137233,0.04885339039878
ResNet50_int, data/cell_cfgs/FeFET_HZO_15_3_9.cell,0.23629680000000006,0.1679256,6.82308,242.076,1.116,70.734,20.172222400000003,70.734,0.94765,100.865,32.819,69.969,19.768, 8, 15,FeFET_8MB_ReadEDP_1BPC-main_dnn_study.csv,1.6122719701440005,57.20178415680001,248.89908,51.5521452,2063.86832,208.1720780968,0.04885339039878
ResNet50_int, data/cell_cfgs/FeFET_HZO_15_4_9.cell,0.23629680000000006,0.20720639999999999,6.82308,242.076,1.116,70.734,20.211503200000003,70.734,0.94765,100.865,32.819,86.336,19.768, 8, 15,FeFET_8MB_ReadEDP_1BPC-main_dnn_study.csv,1.6122719701440005,57.20178415680001,248.89908,51.5521452,2080.23532,209.8229355518,0.04885339039878
ResNet50_int, data/cell_cfgs/FeFET_HZO_15_5_9.cell,0.23629680000000006,0.20720639999999999,6.82308,122.07600000000001,1.116,70.734,20.211503200000003,70.734,0.94765,50.865,32.819,86.336,19.768, 8, 15,FeFET_8MB_ReadEDP_1BPC-main_dnn_study.csv,1.6122719701440005,28.846168156800008,128.89908,51.5521452,1091.8353200000001,55.536203551800014,0.04885339039878
ResNet50_int, data/cell_cfgs/FeFET_HZO_15_6_9.cell,0.23629680000000006,0.13578959999999998,6.82308,4802.4,1.116,70.734,20.1400864,70.734,0.94765,2001.0,32.819,56.57899999999999,19.768, 8, 15,FeFET_8MB_ReadEDP_1BPC-main_dnn_study.csv,1.6122719701440005,1134.7917523200001,4809.22308,51.5521452,39612.347,79264.306347,0.04885339039878
ResNet50_int, data/cell_cfgs/FeFET_HZO_15_7_9.cell,0.23629680000000006,0.15096479999999998,6.82308,2402.4,1.116,70.734,20.155261600000003,70.734,0.94765,1001.0,32.819,62.902,19.768, 8, 15,FeFET_8MB_ReadEDP_1BPC-main_dnn_study.csv,1.6122719701440005,567.6794323200002,2409.22308,51.5521452,19850.67,19870.520669999998,0.04885339039878
ResNet50_int, data/cell_cfgs/FeFET_HZO_15_1_9.cell,0.2148408,0.07523039999999999,4.547484000000002,24000.0,0.48782857799999996,40.445,39.7560712,40.445,0.631595,10000.0,29.839000000000002,31.346,39.466, 2, 15,FeFET_2MB_WriteLatency_1BPC-main_dnn_study.csv,0.9769851005472003,5156.1792,24004.547484,54.765528270000004,394691.346,3946913.46,0.034589633827690654
ResNet50_int, data/cell_cfgs/FeFET_HZO_15_2_9.cell,0.2148408,0.09713279999999999,4.547484000000002,2400.0,0.48782857799999996,40.445,39.777973599999996,40.445,0.631595,1000.0,29.839000000000002,40.472,39.466, 2, 15,FeFET_2MB_WriteLatency_1BPC-main_dnn_study.csv,0.9769851005472003,515.61792,2404.547484,54.765528270000004,39506.472,39506.472,0.034589633827690654
