M,N,K,shape_class,dtype,latency_us_wallclock,latency_us_device,program_us,host_us,cycles_compute,status
10,895,3478,r4,bf16,145.1400,2.6059,2.6118,142.5282,76831,ok
64,58,2008,r4,bf16,165.1800,1.5115,1.5167,163.6633,7135,ok
3572,2021,689,r7,bf16,159.6700,21.2558,21.2607,138.4093,379583,ok
14,2240,20,r2,bf16,141.8200,1.2166,1.2224,140.5976,7127,ok
266,53,6094,r4,bf16,142.6500,2.8841,2.8900,139.7600,31103,ok
1,3662,37,r2,bf16,144.8300,2.1015,2.1110,142.7190,11106,ok
782,6,1584,r4,bf16,150.7000,1.9435,1.9497,148.7503,15131,ok
1085,4402,19,r2,bf16,144.5200,10.1476,10.1526,134.3674,51344,ok
2060,10,37,r1,bf16,147.6100,1.2215,1.2274,146.3827,2441,ok
4696,5,1556,r5,bf16,152.3500,4.3664,4.3710,147.9790,66013,ok
24,5284,7,r2,bf16,180.7200,1.4704,1.4755,179.2445,17051,ok
449,50,4176,r4,bf16,152.7500,2.8909,2.8962,149.8538,27422,ok
2636,3003,5,r3,bf16,154.3000,12.9333,12.9380,141.3619,72431,ok
1,3890,461,r6,bf16,146.4200,5.3608,5.3690,141.0510,47491,ok
192,44,1748,r4,bf16,147.0900,1.5906,1.5952,145.4948,8035,ok
7,2,198,r4,bf16,138.4900,1.0543,1.0599,137.4301,777,ok
3121,5366,97,r3,bf16,161.9700,25.3260,25.3316,136.6385,147125,ok
4913,4631,5573,r7,bf16,478.4500,334.4270,334.4323,144.0177,8620259,ok
11,2127,438,r6,bf16,145.8200,1.6618,1.6677,144.1523,26723,ok
4132,2984,16,r3,bf16,158.6800,19.0992,19.1049,139.5751,108335,ok
2073,17,5147,r5,bf16,150.7500,7.8815,7.8868,142.8633,100654,ok
2863,2791,329,r7,bf16,155.2700,16.3683,16.3729,138.8971,214169,ok
4372,6112,29,r3,bf16,177.9400,37.9414,37.9466,139.9934,228191,ok
418,4398,142,r6,bf16,138.6500,4.9392,4.9448,133.7052,55999,ok
5,406,5,r0,bf16,143.4500,1.1773,1.1828,142.2672,1547,ok
2485,538,3,r1,bf16,148.6600,3.8071,3.8122,144.8478,14334,ok
4827,2802,721,r7,bf16,165.4700,31.9264,31.9316,133.5384,687587,ok
228,446,1,r0,bf16,140.7000,1.3343,1.3449,139.3551,2439,ok
2691,12,2088,r5,bf16,144.5700,4.8489,4.8543,139.7157,52240,ok
672,943,159,r4,bf16,142.1400,2.7731,2.7785,139.3614,16863,ok
2895,2926,515,r7,bf16,161.1100,22.0122,22.0173,139.0927,376854,ok
5,1447,1025,r4,bf16,141.3100,1.8860,1.8913,139.4187,41795,ok
4518,11,65,r1,bf16,139.4399,1.3701,1.3761,138.0638,4899,ok
6,1502,49,r0,bf16,143.5300,1.1897,1.1951,142.3349,4655,ok
1927,106,3208,r5,bf16,150.5400,6.4871,6.4924,144.0476,60033,ok
1995,492,465,r5,bf16,139.9300,4.1349,4.1399,135.7901,38031,ok
3463,3262,10,r3,bf16,155.3600,17.3713,17.3766,137.9834,99969,ok
2,1,8,r0,bf16,138.8800,1.1908,1.2012,137.6788,383,ok
5,3517,4199,r6,bf16,151.2500,9.9839,9.9887,141.2613,357587,ok
1,3,117,r0,bf16,139.2400,1.1098,1.1168,138.1232,382,ok
38,257,3229,r4,bf16,147.8100,2.0043,2.0095,145.8005,32759,ok
5819,38,5,r1,bf16,143.7900,1.6660,1.6716,142.1184,6200,ok
3798,3377,12,r3,bf16,153.3700,19.9517,19.9566,133.4135,112859,ok
3,1638,1633,r4,bf16,149.5200,2.2528,2.2585,147.2615,65064,ok
2567,2485,4,r3,bf16,153.2000,11.7422,11.7474,141.4526,58979,ok
3799,1,7,r1,bf16,144.7100,1.8333,1.8423,142.8677,4180,ok
3602,5420,30,r3,bf16,162.9200,28.8730,28.8778,134.0423,171311,ok
2908,3197,8,r3,bf16,152.9400,14.7510,14.7565,138.1835,82249,ok
7,2255,12,r2,bf16,139.0500,1.1724,1.1776,137.8724,7001,ok
4221,4046,18,r3,bf16,162.4300,26.2759,26.2816,136.1484,147295,ok
5257,3039,3022,r7,bf16,259.6200,117.4707,117.4755,142.1445,3248063,ok
5367,3951,1624,r7,bf16,244.0800,103.4031,103.4091,140.6709,2316846,ok
15,563,3,r0,bf16,140.5800,1.2216,1.2272,139.3528,1984,ok
3,2888,2,r2,bf16,144.1300,1.2157,1.2211,142.9089,8854,ok
3140,876,1024,r5,bf16,151.8900,11.8815,11.8873,140.0028,197231,ok
4358,75,1126,r5,bf16,140.2600,5.0373,5.0430,135.2170,42659,ok
47,1,228,r4,bf16,142.1100,1.7666,1.7741,140.3359,857,ok
5751,1,1583,r5,bf16,154.8300,14.9301,14.9389,139.8911,79728,ok
5624,10,720,r5,bf16,141.6100,2.4869,2.4921,139.1179,36035,ok
8,303,20,r0,bf16,146.2600,1.1436,1.1492,145.1108,1169,ok
43,2109,1,r2,bf16,139.1100,1.3508,1.3596,137.7504,7224,ok
798,42,5,r0,bf16,141.9900,1.2998,1.3055,140.6845,1179,ok
5320,25,152,r5,bf16,140.4400,1.7454,1.7507,138.6892,11403,ok
4969,3359,2,r3,bf16,161.2800,24.8290,24.8343,136.4457,144476,ok
457,2,22,r0,bf16,140.5800,1.1333,1.1393,139.4407,838,ok
3705,5574,91,r3,bf16,163.2400,30.6919,30.6972,132.5428,179827,ok
5233,3676,39,r3,bf16,165.8700,28.3660,28.3715,137.4985,162834,ok
4319,4077,3,r3,bf16,160.7990,25.4696,25.4749,135.3241,150431,ok
3043,1598,12,r1,bf16,147.3900,9.1885,9.1936,138.1964,44524,ok
2125,3807,5,r3,bf16,150.6200,14.3712,14.3760,136.2440,75209,ok
4797,4880,106,r3,bf16,169.3800,33.5331,33.5381,135.8419,201980,ok
166,597,5,r0,bf16,139.1200,1.5027,1.5085,137.6115,2739,ok
4144,2777,14,r3,bf16,154.6600,18.1877,18.1927,136.4672,99571,ok
3328,23,10,r1,bf16,139.3500,1.3575,1.3631,137.9868,3709,ok
2,2259,5017,r6,bf16,139.1400,4.5148,4.5200,134.6200,276479,ok
112,5767,10,r2,bf16,143.8300,2.4865,2.4919,141.3381,22723,ok
3354,2785,34,r3,bf16,150.8000,15.1538,15.1587,135.6413,82191,ok
2918,460,270,r5,bf16,145.0100,4.8858,4.8914,140.1186,39599,ok
51,137,5,r0,bf16,142.9500,1.2559,1.2615,141.6884,865,ok
229,13,20,r0,bf16,141.7300,1.1848,1.1903,140.5397,610,ok
4381,5185,6,r3,bf16,167.9500,33.3306,33.3359,134.6141,195282,ok
3996,3511,4566,r7,bf16,318.2800,173.0480,173.0531,145.2269,4413023,ok
38,25,172,r4,bf16,139.6300,1.2052,1.2104,138.4196,839,ok
4787,3094,576,r7,bf16,179.8000,39.5726,39.5785,140.2214,646124,ok
4355,201,165,r5,bf16,149.9100,3.0955,3.1012,146.8088,18947,ok
2140,2189,819,r7,bf16,154.9100,18.2429,18.2483,136.6618,317771,ok
2352,2542,8,r3,bf16,149.3200,10.9376,10.9432,138.3768,54679,ok
172,3779,43,r2,bf16,138.4700,2.5190,2.5247,135.9454,16619,ok
