M,N,K,shape_class,dtype,latency_us_wallclock,latency_us_device,program_us,host_us,cycles_compute,status
376,583,17,r0,bf16,115.6600,1.9979,17.2284,98.4316,3789,ok
228,446,1,r0,bf16,111.2700,3.6359,18.1138,93.1562,2439,ok
2,713,1,r0,bf16,108.4700,2.7194,17.9907,90.4792,2303,ok
5,1,1,r0,bf16,106.7910,0.5293,15.8484,90.9426,386,ok
590,12,2,r0,bf16,108.9401,1.2125,15.6251,93.3149,971,ok
3,143,110,r0,bf16,107.9801,1.0919,16.1134,91.8667,769,ok
46,909,11,r0,bf16,108.8099,1.3491,21.6353,87.1746,3423,ok
77,169,50,r0,bf16,112.3400,1.3188,15.8646,96.4754,917,ok
308,1787,37,r0,bf16,111.2201,2.9087,19.7639,91.4561,9659,ok
942,5,13,r0,bf16,110.4510,1.0688,14.5623,95.8887,1323,ok
92,514,10,r0,bf16,111.1400,1.4224,16.4157,94.7242,2369,ok
396,19,17,r0,bf16,113.2999,1.2634,11.2796,102.0203,777,ok
624,417,24,r0,bf16,111.8110,1.9830,14.0075,97.8035,4023,ok
1,4,12,r0,bf16,107.0300,1.4189,15.9689,91.0611,382,ok
7,2,65,r0,bf16,110.3290,0.9375,16.0736,94.2554,388,ok
1247,10,7,r0,bf16,107.9290,1.2732,16.1020,91.8270,1628,ok
457,2,22,r0,bf16,109.9000,1.0585,17.6765,92.2236,838,ok
3,9,56,r0,bf16,111.0489,0.9727,15.8480,95.2009,384,ok
2,1,8,r0,bf16,107.4700,2.1343,16.9263,90.5437,383,ok
41,683,32,r0,bf16,113.1800,1.3343,17.0229,96.1572,2537,ok
163,3,120,r0,bf16,108.8000,1.1057,16.4848,92.3152,544,ok
22,102,7,r0,bf16,108.6100,1.1261,16.0947,92.5153,403,ok
1,35,2,r0,bf16,106.7109,1.2197,15.8971,90.8138,382,ok
1,106,21,r0,bf16,107.1700,1.3859,15.2256,91.9444,382,ok
2,64,5,r0,bf16,111.8500,0.9300,15.4588,96.3912,383,ok
18,354,11,r0,bf16,108.5000,1.2841,15.1071,93.3929,1199,ok
783,101,10,r0,bf16,110.9891,1.4723,15.4530,95.5361,1164,ok
119,13,2,r0,bf16,109.5500,1.0837,18.5236,91.0264,500,ok
174,110,46,r0,bf16,109.3199,1.4075,19.0559,90.2640,555,ok
2227,986,48,r1,bf16,114.8301,6.7040,21.1211,93.7090,20871,ok
5578,732,27,r1,bf16,125.2100,11.1127,25.8457,99.3644,35759,ok
4928,51,45,r1,bf16,114.0600,1.9808,16.7048,97.3552,5309,ok
2393,370,9,r1,bf16,112.2101,3.8495,18.8052,93.4048,8324,ok
4630,31,46,r1,bf16,113.1500,1.5384,16.9022,96.2478,5011,ok
2097,1,93,r1,bf16,111.1500,2.8310,16.9361,94.2139,2478,ok
